# {"index_dir": "index/v4_pileval_gpt2", "dtype": "u16", "eos": 50256, "vocab": 50257, "version": 4, "lengths": [1, 2, 3, 4, 5, 6, 8, 10, 12, 16], "buckets": [{"name": "ultra_rare", "min": 1, "max": 1}, {"name": "rare", "min": 2, "max": 5}, {"name": "low", "min": 6, "max": 20}, {"name": "mid", "min": 21, "max": 100}, {"name": "high", "min": 101, "max": 1000}, {"name": "very_high", "min": 1001}], "per_bucket": 20, "max_docs": 2000, "max_doc_len": 4000}
high 1 241 39075
very_high 1 2068 11339
very_high 1 10757 3071
very_high 1 1525937 25
very_high 1 1090 11634
very_high 1 45800 328
very_high 1 3675 9536
very_high 1 19829 756
very_high 1 11640 3848
very_high 1 1664104 329
very_high 1 4170 6130
very_high 1 1330755 351
very_high 1 4990 8602
high 1 869 26372
very_high 1 8185 9478
very_high 1 25469 2534
very_high 1 16984 3426
very_high 1 17836 2177
very_high 1 2811 19809
high 1 348 34440
high 1 240 33859
very_high 1 3250 10404
very_high 1 2394 8536
very_high 1 13545838 198
high 1 234 37822
high 1 151 40680
high 1 941 16445
high 1 520 45355
high 1 350 31066
high 1 861 18029
high 1 594 38175
high 1 244 39894
high 1 762 22623
high 1 253 43083
high 1 817 47691
high 1 161 34100
high 1 884 24073
high 1 699 32433
high 1 306 9982
high 1 953 2249
rare 2 2 40680 4671
rare 2 4 4671 1839
very_high 2 1154 1839 257
high 2 194 257 18862
low 2 10 18862 3741
high 2 366 3741 287
very_high 2 188845 287 257
high 2 451 257 7915
mid 2 30 7915 3071
very_high 2 1730 3071 13
very_high 2 2088338 13 198
very_high 2 30484 198 1544
very_high 2 2221 1544 531
very_high 2 7690 531 339
very_high 2 3052 339 2227
high 2 757 2227 262
high 2 435 262 9825
mid 2 73 9825 287
high 2 326 287 16445
high 2 188 16445 11
very_high 2 36309 11 810
high 2 233 318 2877
mid 2 30 36457 24329
low 2 15 1194 4576
mid 2 26 4576 1499
low 2 15 45355 338
mid 2 45 338 5537
low 2 14 4139 1526
mid 2 25 10115 13308
mid 2 60 13308 726
ultra_rare 2 1 726 1568
rare 2 2 649 31066
low 2 11 31066 1230
low 2 9 326 3554
ultra_rare 2 1 33859 2346
rare 2 4 1544 13941
ultra_rare 2 1 13941 19264
rare 2 3 19264 1770
low 2 8 1770 11634
low 2 20 554 20954
rare 2 3 20954 943
rare 2 3 943 3036
rare 2 3 3036 38768
rare 2 2 18029 2151
ultra_rare 2 1 3382 33859
ultra_rare 2 1 38175 636
rare 2 2 3584 386
rare 2 2 39894 4671
ultra_rare 2 1 1 39075
ultra_rare 2 1 11339 3382
rare 2 4 685 43584
rare 2 2 43584 5537
rare 2 5 4139 60
rare 2 2 5246 13308
ultra_rare 2 1 2003 31066
ultra_rare 2 1 2897 33859
ultra_rare 2 1 33859 428
ultra_rare 2 1 319 33859
ultra_rare 2 1 3267 10404
ultra_rare 2 1 11467 5293
ultra_rare 2 1 33859 878
ultra_rare 2 1 4671 17083
ultra_rare 2 1 34100 357
ultra_rare 2 1 7823 607
ultra_rare 3 1 39075 11339 3071
ultra_rare 3 1 11339 3071 25
ultra_rare 3 1 3071 25 11634
ultra_rare 3 1 25 11634 328
mid 3 50 11634 328 9536
mid 3 55 328 9536 756
ultra_rare 3 1 9536 756 3848
ultra_rare 3 1 756 3848 329
rare 3 2 3848 329 6130
mid 3 23 329 6130 351
rare 3 2 6130 351 8602
ultra_rare 3 1 351 8602 26372
ultra_rare 3 1 8602 26372 9478
rare 3 5 26372 9478 2534
ultra_rare 3 1 9478 2534 3426
rare 3 4 2534 3426 2177
ultra_rare 3 1 3426 2177 19809
low 3 6 2177 19809 34440
rare 3 2 19809 34440 33859
rare 3 2 34440 33859 10404
rare 3 2 33859 10404 8536
rare 3 2 10404 8536 198
low 3 11 8536 198 198
high 3 394 198 198 9060
high 3 232 198 9060 6634
mid 3 32 9060 6634 8428
mid 3 29 6634 8428 2939
mid 3 29 8428 2939 8305
rare 3 3 2939 8305 366
ultra_rare 3 1 8305 366 3844
mid 3 23 366 3844 318
mid 3 68 3844 318 262
high 3 713 318 262 640
high 3 614 262 640 329
rare 3 3 640 329 10721
ultra_rare 3 1 329 10721 553
rare 3 2 10721 553 531
rare 3 3 553 531 1879
ultra_rare 3 1 531 1879 829
low 3 11 1879 829 11634
low 3 12 829 11634 328
ultra_rare 3 1 9536 756 198
mid 3 31 756 198 198
mid 3 58 198 198 39075
low 3 10 198 39075 11339
rare 3 2 39075 11339 338
ultra_rare 3 1 11339 338 37822
ultra_rare 3 1 338 37822 3554
rare 3 2 37822 3554 11
rare 3 2 3554 11 1879
low 3 10 11 1879 829
low 3 11 9536 756 11
rare 3 2 756 11 468
mid 3 51 11 468 1444
high 3 148 468 1444 329
low 3 12 1444 329 649
ultra_rare 3 1 329 649 6130
ultra_rare 3 1 649 6130 351
ultra_rare 3 1 351 8602 706
ultra_rare 3 1 8602 706 40680
rare 3 2 4671 1839 257
low 3 8 257 18862 3741
rare 3 3 18862 3741 287
low 3 7 3741 287 257
mid 3 23 287 257 7915
low 3 6 257 7915 3071
rare 3 3 7915 3071 13
high 3 718 3071 13 198
very_high 3 1524673 13 198 198
very_high 3 27854 198 198 1544
very_high 3 1614 198 1544 531
high 3 352 1544 531 339
high 3 172 531 339 2227
mid 3 94 339 2227 262
low 3 10 262 9825 287
rare 3 2 9825 287 16445
mid 3 81 287 16445 11
low 3 6 16445 11 810
very_high 3 3973 11 810 339
high 3 501 810 339 318
mid 3 21 339 318 2877
mid 3 52 318 2877 287
high 3 576 287 2116 12
high 3 141 2116 12 36457
mid 3 30 12 36457 24329
mid 3 94 11 393 1194
low 3 10 1194 4576 1499
very_high 3 1746 1499 13 198
mid 3 100 198 198 45355
low 3 10 198 45355 338
mid 3 36 338 5537 4139
low 3 9 5537 4139 1526
low 3 9 4139 1526 10115
high 3 232 284 4968 262
low 3 19 4968 262 2126
high 3 391 262 2126 13
high 3 615 2126 13 198
high 3 652 531 339 561
low 3 12 1745 6130 351
high 3 139 6130 351 262
high 3 148 351 262 1182
very_high 3 2403 262 1182 286
very_high 3 2370 1182 286 262
very_high 3 3587 286 262 649
low 3 8 3554 561 423
very_high 3 3789 561 423 284
high 3 920 423 284 1011
high 3 515 284 1011 510
very_high 3 1463 2346 13 198
high 3 894 11 4375 326
very_high 3 1107 3554 286 262
very_high 3 243041 198 198 464
very_high 3 2511 284 1296 257
very_high 3 230780 198 198 1
very_high 3 3512 284 307 281
very_high 3 1783 13 366 1212
very_high 3 4441 366 1212 318
very_high 3 3346 1212 318 262
very_high 3 7128 13 314 892
very_high 3 1868 314 892 262
ultra_rare 4 1 39075 11339 3071 25
ultra_rare 4 1 11339 3071 25 11634
ultra_rare 4 1 3071 25 11634 328
ultra_rare 4 1 25 11634 328 9536
mid 4 50 11634 328 9536 756
ultra_rare 4 1 328 9536 756 3848
ultra_rare 4 1 9536 756 3848 329
ultra_rare 4 1 756 3848 329 6130
rare 4 2 3848 329 6130 351
ultra_rare 4 1 329 6130 351 8602
ultra_rare 4 1 6130 351 8602 26372
ultra_rare 4 1 351 8602 26372 9478
ultra_rare 4 1 8602 26372 9478 2534
ultra_rare 4 1 26372 9478 2534 3426
ultra_rare 4 1 9478 2534 3426 2177
ultra_rare 4 1 2534 3426 2177 19809
ultra_rare 4 1 3426 2177 19809 34440
rare 4 2 2177 19809 34440 33859
rare 4 2 19809 34440 33859 10404
rare 4 2 34440 33859 10404 8536
rare 4 2 33859 10404 8536 198
rare 4 2 10404 8536 198 198
rare 4 2 8536 198 198 9060
high 4 232 198 198 9060 6634
mid 4 32 198 9060 6634 8428
mid 4 29 9060 6634 8428 2939
mid 4 29 6634 8428 2939 8305
ultra_rare 4 1 8428 2939 8305 366
ultra_rare 4 1 2939 8305 366 3844
ultra_rare 4 1 8305 366 3844 318
low 4 10 366 3844 318 262
mid 4 54 3844 318 262 640
mid 4 75 318 262 640 329
ultra_rare 4 1 262 640 329 10721
ultra_rare 4 1 640 329 10721 553
low 4 11 1879 829 11634 328
low 4 12 829 11634 328 9536
low 4 8 198 198 39075 11339
rare 4 2 198 39075 11339 338
rare 4 2 3554 11 1879 829
rare 4 4 11 1879 829 11634
low 4 10 328 9536 756 11
mid 4 22 11 468 1444 329
rare 4 3 468 1444 329 649
rare 4 3 257 18862 3741 287
rare 4 3 287 257 7915 3071
rare 4 2 7915 3071 13 198
high 4 669 3071 13 198 198
very_high 4 16593 13 198 198 1544
very_high 4 1545 198 198 1544 531
high 4 213 198 1544 531 339
low 4 15 1544 531 339 2227
low 4 15 531 339 2227 262
rare 4 2 9825 287 16445 11
rare 4 2 287 16445 11 810
rare 4 2 16445 11 810 339
high 4 138 11 810 339 318
rare 4 2 810 339 318 2877
rare 4 4 339 318 2877 287
rare 4 2 2877 287 2116 12
low 4 10 287 2116 12 36457
mid 4 30 2116 12 36457 24329
very_high 4 1600 1499 13 198 198
mid 4 39 13 198 198 45355
low 4 10 198 198 45355 338
low 4 9 5537 4139 1526 10115
low 4 9 4139 1526 10115 13308
mid 4 25 1526 10115 13308 726
high 4 112 262 2126 13 198
high 4 505 2126 13 198 198
mid 4 36 1544 531 339 561
mid 4 47 351 262 1182 286
very_high 4 1259 262 1182 286 262
low 4 6 1182 286 262 649
mid 4 51 561 423 284 1011
low 4 8 423 284 1011 510
very_high 4 1068 2346 13 198 198
low 4 8 1770 11634 328 9536
high 4 210 11 4375 326 262
low 4 6 326 262 8464 286
high 4 141 11 262 3554 286
high 4 410 262 3554 286 262
mid 4 34 257 10663 12 2306
mid 4 41 10663 12 2306 38175
mid 4 35 286 8602 13 198
high 4 191 8602 13 198 198
very_high 4 129459 13 198 198 464
low 4 6 198 198 464 18029
mid 4 35 284 1296 257 1230
low 4 15 1296 257 1230 13
low 4 13 257 1230 13 198
high 4 913 1230 13 198 198
very_high 4 104522 13 198 198 1
low 4 15 3382 284 307 281
mid 4 62 284 307 281 4795
low 4 16 319 3217 13 366
high 4 811 13 366 1212 318
high 4 625 366 1212 318 262
mid 4 22 661 13 314 892
high 4 580 13 314 892 262
mid 4 26 318 407 1762 11
high 4 196 11 523 356 423
high 4 102 523 356 423 284
high 4 256 526 198 198 5246
high 4 398 3015 13 198 198
high 4 979 198 198 1544 550
very_high 4 30810 198 198 1 40
very_high 4 5387 339 531 13 198
very_high 4 24264 531 13 198 198
very_high 4 2170 13 198 198 5246
very_high 4 7329 13 198 198 2061
high 4 144 30 198 198 3152
very_high 4 7275 13 198 198 34
very_high 4 7981 526 198 198 464
very_high 4 7238 198 198 1 464
very_high 4 43404 13 198 198 818
very_high 4 1033 198 198 818 281
very_high 4 3337 13 198 198 4821
very_high 4 5237 198 198 4821 284
very_high 4 5525 198 198 4864 11
ultra_rare 5 1 39075 11339 3071 25 11634
ultra_rare 5 1 11339 3071 25 11634 328
ultra_rare 5 1 3071 25 11634 328 9536
ultra_rare 5 1 25 11634 328 9536 756
ultra_rare 5 1 11634 328 9536 756 3848
ultra_rare 5 1 328 9536 756 3848 329
ultra_rare 5 1 9536 756 3848 329 6130
ultra_rare 5 1 756 3848 329 6130 351
ultra_rare 5 1 3848 329 6130 351 8602
ultra_rare 5 1 329 6130 351 8602 26372
ultra_rare 5 1 6130 351 8602 26372 9478
ultra_rare 5 1 351 8602 26372 9478 2534
ultra_rare 5 1 8602 26372 9478 2534 3426
ultra_rare 5 1 26372 9478 2534 3426 2177
ultra_rare 5 1 9478 2534 3426 2177 19809
ultra_rare 5 1 2534 3426 2177 19809 34440
ultra_rare 5 1 3426 2177 19809 34440 33859
rare 5 2 2177 19809 34440 33859 10404
rare 5 2 19809 34440 33859 10404 8536
rare 5 2 34440 33859 10404 8536 198
rare 5 2 33859 10404 8536 198 198
rare 5 2 10404 8536 198 198 9060
rare 5 2 8536 198 198 9060 6634
mid 5 32 198 198 9060 6634 8428
mid 5 29 198 9060 6634 8428 2939
mid 5 29 9060 6634 8428 2939 8305
ultra_rare 5 1 6634 8428 2939 8305 366
ultra_rare 5 1 8428 2939 8305 366 3844
ultra_rare 5 1 2939 8305 366 3844 318
low 5 9 366 3844 318 262 640
low 5 17 3844 318 262 640 329
low 5 11 1879 829 11634 328 9536
low 5 12 829 11634 328 9536 756
rare 5 2 198 198 39075 11339 338
rare 5 2 3554 11 1879 829 11634
rare 5 4 11 1879 829 11634 328
low 5 10 11634 328 9536 756 11
rare 5 2 7915 3071 13 198 198
low 5 9 3071 13 198 198 1544
very_high 5 1052 13 198 198 1544 531
high 5 210 198 198 1544 531 339
low 5 7 198 1544 531 339 2227
rare 5 4 1544 531 339 2227 262
rare 5 2 287 16445 11 810 339
rare 5 2 2877 287 2116 12 36457
low 5 9 287 2116 12 36457 24329
rare 5 4 2116 12 36457 24329 11
low 5 8 13 198 198 45355 338
low 5 9 5537 4139 1526 10115 13308
low 5 9 4139 1526 10115 13308 726
mid 5 99 262 2126 13 198 198
low 5 9 2126 13 198 198 1544
mid 5 22 198 1544 531 339 561
mid 5 21 351 262 1182 286 262
rare 5 5 262 1182 286 262 649
low 5 8 2346 13 198 198 1544
rare 5 2 13 198 198 1544 13941
low 5 8 1770 11634 328 9536 756
rare 5 3 554 20954 943 3036 38768
mid 5 100 11 262 3554 286 262
low 5 10 257 10663 12 2306 38175
mid 5 25 286 8602 13 198 198
mid 5 21 8602 13 198 198 464
rare 5 5 13 198 198 464 18029
low 5 12 284 1296 257 1230 13
low 5 7 1296 257 1230 13 198
low 5 12 257 1230 13 198 198
mid 5 39 1230 13 198 198 1
rare 5 2 319 3217 13 366 1212
rare 5 2 3217 13 366 1212 318
mid 5 84 13 366 1212 318 262
low 5 6 661 13 314 892 262
mid 5 72 11 523 356 423 284
mid 5 28 284 1064 649 2842 284
low 5 6 338 3015 13 198 198
high 5 690 13 198 198 1544 550
very_high 5 13548 13 198 198 1 40
very_high 5 5323 339 531 13 198 198
very_high 5 2158 531 13 198 198 464
mid 5 32 13 198 198 464 7897
mid 5 51 13 198 198 2061 547
mid 5 36 198 198 2061 547 262
mid 5 25 13 198 198 34 34100
high 5 180 13 18 4 286 262
mid 5 28 4 286 262 3015 11
mid 5 44 2292 13 198 198 1
very_high 5 4168 13 198 198 1 464
mid 5 30 198 198 5195 750 262
high 5 665 13 198 198 818 281
high 5 115 198 818 281 2230 284
high 5 155 13 198 198 464 1445
very_high 5 3173 13 198 198 4821 284
high 5 447 13 198 198 14311 262
high 5 337 13 198 198 1 5122
high 5 712 13 198 198 1 818
high 5 214 553 339 2087 13 198
high 5 606 339 2087 13 198 198
high 5 189 2087 13 198 198 464
high 5 253 262 2482 13 198 198
high 5 163 11 290 611 523 11
high 5 278 13 198 198 8421 262
high 5 109 1863 351 262 1334 286
high 5 500 351 262 1334 286 262
high 5 259 287 3050 13 198 198
ultra_rare 6 1 39075 11339 3071 25 11634 328
ultra_rare 6 1 11339 3071 25 11634 328 9536
ultra_rare 6 1 3071 25 11634 328 9536 756
ultra_rare 6 1 25 11634 328 9536 756 3848
ultra_rare 6 1 11634 328 9536 756 3848 329
ultra_rare 6 1 328 9536 756 3848 329 6130
ultra_rare 6 1 9536 756 3848 329 6130 351
ultra_rare 6 1 756 3848 329 6130 351 8602
ultra_rare 6 1 3848 329 6130 351 8602 26372
ultra_rare 6 1 329 6130 351 8602 26372 9478
ultra_rare 6 1 6130 351 8602 26372 9478 2534
ultra_rare 6 1 351 8602 26372 9478 2534 3426
ultra_rare 6 1 8602 26372 9478 2534 3426 2177
ultra_rare 6 1 26372 9478 2534 3426 2177 19809
ultra_rare 6 1 9478 2534 3426 2177 19809 34440
ultra_rare 6 1 2534 3426 2177 19809 34440 33859
ultra_rare 6 1 3426 2177 19809 34440 33859 10404
rare 6 2 2177 19809 34440 33859 10404 8536
rare 6 2 19809 34440 33859 10404 8536 198
rare 6 2 34440 33859 10404 8536 198 198
rare 6 2 33859 10404 8536 198 198 9060
rare 6 2 10404 8536 198 198 9060 6634
rare 6 2 8536 198 198 9060 6634 8428
mid 6 29 198 198 9060 6634 8428 2939
mid 6 29 198 9060 6634 8428 2939 8305
ultra_rare 6 1 9060 6634 8428 2939 8305 366
ultra_rare 6 1 6634 8428 2939 8305 366 3844
ultra_rare 6 1 8428 2939 8305 366 3844 318
rare 6 4 366 3844 318 262 640 329
low 6 11 1879 829 11634 328 9536 756
rare 6 2 3554 11 1879 829 11634 328
rare 6 4 11 1879 829 11634 328 9536
low 6 6 829 11634 328 9536 756 11
rare 6 5 3071 13 198 198 1544 531
high 6 141 13 198 198 1544 531 339
low 6 7 198 198 1544 531 339 2227
rare 6 3 198 1544 531 339 2227 262
rare 6 2 2877 287 2116 12 36457 24329
low 6 9 5537 4139 1526 10115 13308 726
mid 6 22 198 198 1544 531 339 561
rare 6 2 1770 11634 328 9536 756 11
rare 6 4 286 8602 13 198 198 464
low 6 7 284 1296 257 1230 13 198
low 6 6 1296 257 1230 13 198 198
rare 6 3 11 523 356 423 284 1064
rare 6 2 423 284 1064 649 2842 284
rare 6 2 13308 726 338 5940 22623 3615
rare 6 2 726 338 5940 22623 3615 357
rare 6 2 338 5940 22623 3615 357 10246
rare 6 2 5940 22623 3615 357 10246 8
low 6 7 13 198 198 1544 550 10719
low 6 7 1230 13 198 198 1 40
high 6 438 339 531 13 198 198 464
mid 6 22 13 198 198 2061 547 262
low 6 9 13 18 4 286 262 3015
mid 6 44 13 198 198 818 281 2230
mid 6 76 198 198 818 281 2230 284
low 6 13 13 198 198 9060 6634 7136
mid 6 29 198 198 9060 6634 7136 5382
mid 6 26 198 9060 6634 7136 5382 2939
mid 6 26 9060 6634 7136 5382 2939 8305
low 6 20 13 198 198 2061 468 587
low 6 8 198 198 2061 468 587 262
low 6 6 1297 8916 1705 4086 13 198
low 6 13 8916 1705 4086 13 198 198
low 6 9 1705 4086 13 198 198 1
high 6 210 553 339 2087 13 198 198
mid 6 69 339 2087 13 198 198 464
low 6 11 319 262 2482 13 198 198
low 6 6 198 198 2061 4325 783 30
low 6 6 198 2061 4325 783 30 198
low 6 7 198 198 37702 6448 910 262
mid 6 24 13 198 198 13217 261 952
low 6 7 318 407 1016 284 467 1497
mid 6 25 11 830 812 13 198 198
mid 6 74 1863 351 262 1334 286 262
ultra_rare 8 1 39075 11339 3071 25 11634 328 9536 756
ultra_rare 8 1 11339 3071 25 11634 328 9536 756 3848
ultra_rare 8 1 3071 25 11634 328 9536 756 3848 329
ultra_rare 8 1 25 11634 328 9536 756 3848 329 6130
ultra_rare 8 1 11634 328 9536 756 3848 329 6130 351
ultra_rare 8 1 328 9536 756 3848 329 6130 351 8602
ultra_rare 8 1 9536 756 3848 329 6130 351 8602 26372
ultra_rare 8 1 756 3848 329 6130 351 8602 26372 9478
ultra_rare 8 1 3848 329 6130 351 8602 26372 9478 2534
ultra_rare 8 1 329 6130 351 8602 26372 9478 2534 3426
ultra_rare 8 1 6130 351 8602 26372 9478 2534 3426 2177
ultra_rare 8 1 351 8602 26372 9478 2534 3426 2177 19809
ultra_rare 8 1 8602 26372 9478 2534 3426 2177 19809 34440
ultra_rare 8 1 26372 9478 2534 3426 2177 19809 34440 33859
ultra_rare 8 1 9478 2534 3426 2177 19809 34440 33859 10404
ultra_rare 8 1 2534 3426 2177 19809 34440 33859 10404 8536
ultra_rare 8 1 3426 2177 19809 34440 33859 10404 8536 198
rare 8 2 2177 19809 34440 33859 10404 8536 198 198
rare 8 2 19809 34440 33859 10404 8536 198 198 9060
rare 8 2 34440 33859 10404 8536 198 198 9060 6634
rare 8 2 33859 10404 8536 198 198 9060 6634 8428
rare 8 2 10404 8536 198 198 9060 6634 8428 2939
rare 8 2 8536 198 198 9060 6634 8428 2939 8305
ultra_rare 8 1 198 198 9060 6634 8428 2939 8305 366
ultra_rare 8 1 198 9060 6634 8428 2939 8305 366 3844
ultra_rare 8 1 9060 6634 8428 2939 8305 366 3844 318
rare 8 2 3554 11 1879 829 11634 328 9536 756
rare 8 4 11 1879 829 11634 328 9536 756 11
rare 8 2 13 198 198 1544 531 339 2227 262
rare 8 2 13308 726 338 5940 22623 3615 357 10246
rare 8 2 726 338 5940 22623 3615 357 10246 8
rare 8 2 13 198 198 5246 11634 328 9536 756
rare 8 3 13 198 198 2061 547 262 2482 30
rare 8 2 198 198 3152 3016 477 5690 14789 11
low 8 13 13 198 198 9060 6634 7136 5382 2939
mid 8 26 198 198 9060 6634 7136 5382 2939 8305
rare 8 2 198 9060 6634 7136 5382 2939 8305 554
rare 8 3 1297 8916 1705 4086 13 198 198 1
rare 8 4 13 198 198 2061 4325 783 30 198
rare 8 5 198 198 2061 4325 783 30 198 198
ultra_rare 10 1 39075 11339 3071 25 11634 328 9536 756 3848 329
ultra_rare 10 1 11339 3071 25 11634 328 9536 756 3848 329 6130
ultra_rare 10 1 3071 25 11634 328 9536 756 3848 329 6130 351
ultra_rare 10 1 25 11634 328 9536 756 3848 329 6130 351 8602
ultra_rare 10 1 11634 328 9536 756 3848 329 6130 351 8602 26372
ultra_rare 10 1 328 9536 756 3848 329 6130 351 8602 26372 9478
ultra_rare 10 1 9536 756 3848 329 6130 351 8602 26372 9478 2534
ultra_rare 10 1 756 3848 329 6130 351 8602 26372 9478 2534 3426
ultra_rare 10 1 3848 329 6130 351 8602 26372 9478 2534 3426 2177
ultra_rare 10 1 329 6130 351 8602 26372 9478 2534 3426 2177 19809
ultra_rare 10 1 6130 351 8602 26372 9478 2534 3426 2177 19809 34440
ultra_rare 10 1 351 8602 26372 9478 2534 3426 2177 19809 34440 33859
ultra_rare 10 1 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404
ultra_rare 10 1 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536
ultra_rare 10 1 9478 2534 3426 2177 19809 34440 33859 10404 8536 198
ultra_rare 10 1 2534 3426 2177 19809 34440 33859 10404 8536 198 198
ultra_rare 10 1 3426 2177 19809 34440 33859 10404 8536 198 198 9060
rare 10 2 2177 19809 34440 33859 10404 8536 198 198 9060 6634
rare 10 2 19809 34440 33859 10404 8536 198 198 9060 6634 8428
rare 10 2 34440 33859 10404 8536 198 198 9060 6634 8428 2939
rare 10 2 33859 10404 8536 198 198 9060 6634 8428 2939 8305
ultra_rare 10 1 10404 8536 198 198 9060 6634 8428 2939 8305 366
ultra_rare 10 1 8536 198 198 9060 6634 8428 2939 8305 366 3844
ultra_rare 10 1 198 198 9060 6634 8428 2939 8305 366 3844 318
rare 10 2 13 198 198 9060 6634 7136 5382 2939 8305 554
ultra_rare 12 1 39075 11339 3071 25 11634 328 9536 756 3848 329 6130 351
ultra_rare 12 1 11339 3071 25 11634 328 9536 756 3848 329 6130 351 8602
ultra_rare 12 1 3071 25 11634 328 9536 756 3848 329 6130 351 8602 26372
ultra_rare 12 1 25 11634 328 9536 756 3848 329 6130 351 8602 26372 9478
ultra_rare 12 1 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534
ultra_rare 12 1 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426
ultra_rare 12 1 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177
ultra_rare 12 1 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809
ultra_rare 12 1 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440
ultra_rare 12 1 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859
ultra_rare 12 1 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404
ultra_rare 12 1 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536
ultra_rare 12 1 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198
ultra_rare 12 1 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198
ultra_rare 12 1 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060
ultra_rare 12 1 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634
ultra_rare 12 1 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428
rare 12 2 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939
rare 12 2 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305
ultra_rare 12 1 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366
ultra_rare 12 1 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844
ultra_rare 12 1 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844 318
ultra_rare 16 1 39075 11339 3071 25 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534
ultra_rare 16 1 11339 3071 25 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426
ultra_rare 16 1 3071 25 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177
ultra_rare 16 1 25 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809
ultra_rare 16 1 11634 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440
ultra_rare 16 1 328 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859
